AverageHash,ColorHash,DateModified,DateTime,DateTimeOriginal,DateTimeDigitized,Format,ColorSpace,Orientation,FileSize,XSize,YSize,Make,Model,Software,HostComputer,ImageDescription,FileName,SourceDir
c1f841fec20e86038e81de407e60de601ff03eb21e381838101801fc03ff277f,01f79e00000004e001000,2021-08-28 09:04:02,2021:08:28 09:04:02,,,MPO,,1,5537792,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00729.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
f01ee008e3e0e260c0604040c200c240c7c087e4c6fee67cfed8e7f0f060f81c,35ff8c007001047000000,2021-08-28 09:04:10,2021:08:28 09:04:11,,,MPO,,6,4849664,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00730.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00f00070025800400000000008000c30037403ff0fff1dff3fbf007f1fff3fff,3fe39f38d000000000001,2021-08-28 09:04:22,2021:08:28 09:04:22,,,MPO,,1,9928704,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00731.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0408f00cf85ec83b82f80df009b00720072807e00ff02c607bc06f806f204648,1be7871cf006000003000,2021-08-28 17:37:46,2021:08:28 17:37:47,,,MPO,,1,4816896,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00732.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
080f0c0d1838f814ba783cc87dd87ff847f007d007c887e084e020f030e0e1e4,0ff78e08e007000007000,2021-08-28 17:37:48,2021:08:28 17:37:49,,,MPO,,1,5144576,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00733.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
8000000006300f700ff80ff80ff80ff80ff80ffc8f7c47f89ffa3ffb3fbb1f99,3f8f8c001002080002000,2021-08-28 17:37:58,2021:08:28 17:37:58,,,MPO,,1,5308416,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00734.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
07c10fe30fe20ff41ff51fff0fff0fff0fb707f70ff70ff70ff10ff70fe704e7,3fff80000000040000000,2021-08-28 17:37:58,2021:08:28 17:37:58,,,MPO,,1,4521984,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00735.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
1e001e001e001e008e0c4e0eafccefdc7ffc7ffc3ffe3fe71ff33ffb04df9a3f,1fef8700f080041000000,2021-08-28 17:38:02,2021:08:28 17:38:02,,,MPO,,1,5701632,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00736.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
180018000080048004000f878f8fcf0ecf0eef1fef1fef7ee77ce7fcfffbfffb,1fce9e002000002001000,2021-08-28 17:38:14,2021:08:28 17:38:15,,,MPO,,1,6225920,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00737.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
02000200070007a18fa3cf83cf83cf83ef83efc3ef87e79fe7bff7fdfffefdfe,1fff8e001000002000000,2021-08-28 17:38:14,2021:08:28 17:38:15,,,MPO,,1,5177344,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00738.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
7818787870f861f861f073f039f079f87bf879f879f839f8dff83ff8d7f097f8,3bbf8200e041000000000,2021-08-28 17:38:16,2021:08:28 17:38:17,,,MPO,,1,4784128,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00739.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0382038203c440846004648417c41ff71ff23ff03ff8ff98feb0fef8fef8fe7c,33df4304c006000006000,2021-08-28 17:38:22,2021:08:28 17:38:22,,,MPO,,1,4784128,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00740.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
03cf03fd02ff127f317f36ff33ff3bff1ffe1ffc01fc01f801e800e808f818f8,3bff8c0c2000080000000,2021-08-28 17:38:38,2021:08:28 17:38:38,,,MPO,,6,4259840,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00741.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
0377017f337f333f33bf30bfb07fb87a19f81cd82cf830f80cf80cf80cfc087e,3bd7871df000040001000,2021-08-28 17:38:54,2021:08:28 17:38:55,,,MPO,,6,4653056,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00742.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
ce00cd000d001f407e403e7073f0f1e12031300c38370037e3fff3fff3fff3ff,19f786007000780000000,2021-08-28 17:53:56,2021:08:28 17:53:57,,,MPO,,1,7372800,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00743.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
e6f8f7f0ffe02fc003e01cf0007000260067007f007f00f701ff63ffffbfffff,1dff80002000700000000,2021-08-28 17:53:56,2021:08:28 17:53:57,,,MPO,,1,4554752,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00744.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
df10ce00cc000e001f407c40347835f0a4112410323611f700f7e3fff3fff3ff,1b878c046000700000000,2021-08-28 17:53:58,2021:08:28 17:53:59,,,MPO,,1,7766016,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00745.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
00800000000200080050f070f3fefbcfffef7fff7ffffffffff8fff0ff80fe00,1df7c304f0061c0002000,2021-08-28 17:54:04,2021:08:28 17:54:04,,,MPO,,1,6553600,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00746.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
004100c2007c0c700fa107e307c1ffc0ffe0fffcfffeffffffffffffffffffff,0fa7c609c00f040006000,2021-08-28 17:54:04,2021:08:28 17:54:04,,,MPO,,1,4816896,6000,3376,SONY,ILCE-6000,ILCE-6000 v3.21,,,DSC00747.JPG,D:/Dropbox/Pictures/Sony ILCE-6000/20210918 2223
